Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19780905	1978	9	5	20.200001	7.600000	660.000000	2.400000	5.700000	14.000000	-1.000000	-1.000000	0.720000	14.000000	6.000000	-1.000000	-1.000000	3.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	30.600000	-1.000000	-1.000000
19780925	1978	9	25	20.000000	7.900000	656.000000	5.900000	6.200000	-1.000000	-1.000000	4.800000	1.650000	11.500000	5.900000	-1.000000	-1.000000	3.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19781003	1978	10	3	16.299999	7.400000	637.000000	1.200000	5.900000	12.000000	-1.000000	5.700000	0.600000	7.060000	7.900000	-1.000000	-1.000000	2.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	29.400000	-1.000000	-1.000000
19781019	1978	10	19	16.000000	7.600000	692.000000	3.900000	6.400000	-1.000000	-1.000000	4.500000	0.990000	10.600000	4.600000	-1.000000	-1.000000	0.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19781107	1978	11	7	14.400000	7.400000	727.000000	2.000000	7.600000	10.000000	-1.000000	9.000000	1.800000	4.500000	9.500000	-1.000000	-1.000000	4.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	32.000000	-1.000000	-1.000000
19781121	1978	11	21	13.500000	7.800000	781.000000	2.700000	15.500000	-1.000000	-1.000000	8.600000	1.300000	3.700000	7.500000	-1.000000	-1.000000	4.300000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19781205	1978	12	5	11.500000	7.400000	845.000000	3.500000	6.300000	18.000000	-1.000000	12.500000	4.750000	1.500000	11.500000	-1.000000	-1.000000	5.280000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	-1.000000	-1.000000
19790515	1979	5	15	16.500000	8.000000	558.000000	6.000000	4.200000	-1.000000	-1.000000	0.920000	0.490000	12.400000	2.000000	-1.000000	-1.000000	1.200000	45.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	28.000000	-1.000000	-1.000000
19790516	1979	5	16	17.500000	7.800000	616.000000	6.700000	6.800000	22.000000	-1.000000	2.900000	0.330000	18.600000	2.600000	-1.000000	0.930000	2.100000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19790619	1979	6	19	21.000000	7.700000	596.000000	5.500000	8.600000	-1.000000	-1.000000	2.450000	0.270000	16.000000	6.500000	-1.000000	0.960000	1.950000	42.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	30.000000	-1.000000	-1.000000
19790620	1979	6	20	19.100000	8.000000	560.000000	6.000000	6.600000	31.000000	-1.000000	2.100000	0.330000	16.799999	3.500000	-1.000000	1.000000	1.620000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	103.000000	9.600000
19790710	1979	7	10	20.000000	8.000000	597.000000	7.400000	8.800000	-1.000000	-1.000000	2.400000	0.240000	13.000000	7.000000	-1.000000	1.600000	1.800000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	36.000000	-1.000000	-1.000000
19790718	1979	7	18	22.400000	7.900000	593.000000	6.100000	5.400000	20.000000	-1.000000	2.450000	0.330000	14.200000	3.800000	-1.000000	1.000000	1.900000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	96.000000	5.800000
19790821	1979	8	21	19.500000	7.700000	545.000000	8.000000	4.500000	-1.000000	-1.000000	1.950000	0.490000	4.400000	3.000000	-1.000000	1.020000	1.800000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	32.000000	-1.000000	-1.000000
19790829	1979	8	29	18.700001	7.800000	540.000000	6.700000	5.500000	-1.000000	-1.000000	2.200000	0.250000	12.800000	3.000000	-1.000000	1.170000	2.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19790911	1979	9	11	19.000000	7.500000	610.000000	3.900000	5.200000	-1.000000	-1.000000	3.400000	0.520000	9.600000	5.600000	-1.000000	1.470000	3.400000	53.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	36.000000	-1.000000	-1.000000
19790919	1979	9	19	18.900000	7.300000	666.000000	3.700000	7.600000	-1.000000	-1.000000	5.600000	0.330000	11.500000	6.000000	-1.000000	1.670000	4.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19791017	1979	10	17	15.900000	7.500000	591.000000	6.300000	4.600000	-1.000000	-1.000000	3.550000	0.990000	11.500000	5.600000	-1.000000	1.170000	3.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19791023	1979	10	23	14.000000	7.500000	581.000000	6.000000	4.700000	-1.000000	-1.000000	1.950000	0.380000	10.000000	6.100000	-1.000000	1.090000	1.460000	48.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	36.000000	-1.000000	-1.000000
19791121	1979	11	21	9.200000	7.900000	587.000000	8.500000	6.200000	-1.000000	-1.000000	2.350000	0.250000	18.200001	4.200000	-1.000000	0.830000	1.540000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19800207	1980	2	7	8.000000	7.800000	465.000000	9.200000	9.800000	-1.000000	-1.000000	1.000000	0.160000	15.900000	2.500000	-1.000000	0.930000	0.950000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19800422	1980	4	22	13.000000	7.900000	594.000000	7.600000	5.100000	-1.000000	-1.000000	1.400000	0.330000	18.900000	1.700000	-1.000000	0.500000	1.400000	40.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	23.000000	-1.000000	-1.000000
19800520	1980	5	20	21.000000	7.700000	579.000000	5.900000	10.900000	-1.000000	-1.000000	4.300000	0.200000	10.400000	5.100000	-1.000000	1.150000	2.500000	65.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	32.000000	-1.000000	-1.000000
19800624	1980	6	24	18.000000	7.400000	-1.000000	3.300000	10.300000	-1.000000	-1.000000	4.300000	0.200000	18.000000	5.200000	-1.000000	1.250000	2.900000	47.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	26.000000	-1.000000	-1.000000
19800730	1980	7	30	20.000000	7.400000	580.000000	6.900000	5.000000	-1.000000	-1.000000	0.800000	0.270000	11.400000	1.700000	-1.000000	0.350000	1.000000	32.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19800804	1980	8	4	22.000000	7.800000	594.000000	6.200000	-1.000000	-1.000000	-1.000000	2.470000	0.300000	14.100000	3.000000	-1.000000	0.780000	2.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19800826	1980	8	26	20.000000	7.500000	558.000000	7.700000	8.400000	-1.000000	-1.000000	1.600000	0.800000	12.300000	1.800000	-1.000000	0.800000	1.800000	42.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	21.000000	-1.000000	-1.000000
19800923	1980	9	23	20.000000	8.000000	584.000000	3.600000	5.200000	-1.000000	-1.000000	4.800000	0.500000	8.500000	6.200000	-1.000000	1.540000	4.500000	50.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	30.000000	-1.000000	-1.000000
19801007	1980	10	7	18.400000	8.000000	673.000000	2.000000	-1.000000	-1.000000	-1.000000	7.600000	0.650000	9.000000	8.200000	-1.000000	1.800000	5.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
