Date	Annee	Mois	Jour	Qls	Qm3s
19960819	1996	8	19	62600	62.6
19960820	1996	8	20	63800	63.8
19960821	1996	8	21	63800	63.8
19960822	1996	8	22	92900	92.9
19960823	1996	8	23	87100	87.1
19960824	1996	8	24	83600	83.6
19960825	1996	8	25	58800	58.8
19960826	1996	8	26	74200	74.2
19960827	1996	8	27	72800	72.8
19960828	1996	8	28	70500	70.5
19960829	1996	8	29	70500	70.5
19960830	1996	8	30	70800	70.8
19960831	1996	8	31	73200	73.2
19960901	1996	9	1	73400	73.4
19960902	1996	9	2	71900	71.9
19960903	1996	9	3	69700	69.7
19960904	1996	9	4	68500	68.5
19960905	1996	9	5	67600	67.6
19960906	1996	9	6	67600	67.6
19960907	1996	9	7	68500	68.5
19960908	1996	9	8	70500	70.5
19960909	1996	9	9	62700	62.7
19960910	1996	9	10	66100	66.1
19960911	1996	9	11	63500	63.5
19960912	1996	9	12	64100	64.1
19960913	1996	9	13	60100	60.1
19960914	1996	9	14	61700	61.7
19960915	1996	9	15	52500	52.5
19960916	1996	9	16	54000	54
19960917	1996	9	17	53300	53.3
19960918	1996	9	18	55500	55.5
19960919	1996	9	19	79400	79.4
19960920	1996	9	20	88700	88.7
19960921	1996	9	21	69400	69.4
19960922	1996	9	22	69000	69
19960923	1996	9	23	68800	68.8
19960924	1996	9	24	60100	60.1
19960925	1996	9	25	60600	60.6
19960926	1996	9	26	70000	70
19960927	1996	9	27	69300	69.3
19960928	1996	9	28	63300	63.3
19960929	1996	9	29	69700	69.7
19960930	1996	9	30	65200	65.2
19961001	1996	10	1	102000	102
19961002	1996	10	2	112000	112
19961003	1996	10	3	101000	101
19961004	1996	10	4	76300	76.3
19961005	1996	10	5	78300	78.3
19961006	1996	10	6	77200	77.2
19961007	1996	10	7	79800	79.8
19961008	1996	10	8	80400	80.4
19961009	1996	10	9	80900	80.9
19961010	1996	10	10	82600	82.6
19961011	1996	10	11	78700	78.7
19961012	1996	10	12	82400	82.4
19961013	1996	10	13	81900	81.9
19961014	1996	10	14	77800	77.8
19961015	1996	10	15	87900	87.9
19961016	1996	10	16	68200	68.2
19961017	1996	10	17	80000	80
19961018	1996	10	18	88700	88.7
19961019	1996	10	19	81000	81
19961020	1996	10	20	79500	79.5
19961021	1996	10	21	79200	79.2
19961022	1996	10	22	82100	82.1
19961023	1996	10	23	74300	74.3
19961024	1996	10	24	80600	80.6
19961025	1996	10	25	77500	77.5
19961026	1996	10	26	81200	81.2
19961027	1996	10	27	80300	80.3
19961028	1996	10	28	83500	83.5
19961029	1996	10	29	76500	76.5
19961030	1996	10	30	80600	80.6
19961031	1996	10	31	74600	74.6
19961101	1996	11	1	80700	80.7
19961102	1996	11	2	77800	77.8
19961103	1996	11	3	76100	76.1
19961104	1996	11	4	80000	80
19961105	1996	11	5	81800	81.8
19961106	1996	11	6	88500	88.5
19961107	1996	11	7	106000	106
19961108	1996	11	8	141000	141
19961109	1996	11	9	114000	114
19961110	1996	11	10	122000	122
19961111	1996	11	11	149000	149
19961112	1996	11	12	190000	190
19961113	1996	11	13	225000	225
19961114	1996	11	14	252000	252
19961115	1996	11	15	286000	286
19961116	1996	11	16	273000	273
19961117	1996	11	17	261000	261
19961118	1996	11	18	247000	247
19961119	1996	11	19	272000	272
19961120	1996	11	20	296000	296
19961121	1996	11	21	339000	339
19961122	1996	11	22	335000	335
19961123	1996	11	23	332000	332
19961124	1996	11	24	333000	333
19961125	1996	11	25	336000	336
19961126	1996	11	26	329000	329
19961127	1996	11	27	343000	343
19961128	1996	11	28	409000	409
19961129	1996	11	29	411000	411
19961130	1996	11	30	458000	458
19961201	1996	12	1	593000	593
19961202	1996	12	2	653000	653
19961203	1996	12	3	710000	710
19961204	1996	12	4	714000	714
19961205	1996	12	5	591000	591
19961206	1996	12	6	582000	582
19961207	1996	12	7	554000	554
19961208	1996	12	8	549000	549
19961209	1996	12	9	526000	526
19961210	1996	12	10	497000	497
19961211	1996	12	11	460000	460
19961212	1996	12	12	439000	439
19961213	1996	12	13	411000	411
19961214	1996	12	14	417000	417
19961215	1996	12	15	396000	396
19961216	1996	12	16	393000	393
19961217	1996	12	17	360000	360
19961218	1996	12	18	359000	359
19961219	1996	12	19	351000	351
19961220	1996	12	20	303000	303
19961221	1996	12	21	313000	313
19961222	1996	12	22	298000	298
19961223	1996	12	23	298000	298
19961224	1996	12	24	293000	293
19961225	1996	12	25	310000	310
19961226	1996	12	26	304000	304
19961227	1996	12	27	299000	299
19961228	1996	12	28	263000	263
19961229	1996	12	29	238000	238
19961230	1996	12	30	223000	223
19961231	1996	12	31	226000	226
20010101	2001	1	1	349000	349
20010102	2001	1	2	368000	368
20010103	2001	1	3	392000	392
20010104	2001	1	4	391000	391
20010105	2001	1	5	377000	377
20010106	2001	1	6	426000	426
20010107	2001	1	7	500000	500
20010108	2001	1	8	500000	500
20010109	2001	1	9	442000	442
20010110	2001	1	10	428000	428
20010111	2001	1	11	399000	399
20010112	2001	1	12	398000	398
20010113	2001	1	13	369000	369
20010114	2001	1	14	373000	373
20010115	2001	1	15	371000	371
20010116	2001	1	16	355000	355
20010117	2001	1	17	323000	323
20010118	2001	1	18	333000	333
20010119	2001	1	19	309000	309
20010120	2001	1	20	294000	294
20010121	2001	1	21	303000	303
20010122	2001	1	22	330000	330
20010123	2001	1	23	333000	333
20010124	2001	1	24	366000	366
20010125	2001	1	25	476000	476
20010126	2001	1	26	467000	467
20010127	2001	1	27	493000	493
20010128	2001	1	28	505000	505
20010129	2001	1	29	509000	509
20010130	2001	1	30	456000	456
20010131	2001	1	31	411000	411
20010201	2001	2	1	386000	386
20010202	2001	2	2	376000	376
20010203	2001	2	3	376000	376
20010204	2001	2	4	394000	394
20010205	2001	2	5	526000	526
20010206	2001	2	6	569000	569
20010207	2001	2	7	551000	551
20010208	2001	2	8	553000	553
20010209	2001	2	9	553000	553
20010210	2001	2	10	529000	529
20010211	2001	2	11	519000	519
20010212	2001	2	12	473000	473
20010213	2001	2	13	466000	466
20010214	2001	2	14	432000	432
20010215	2001	2	15	434000	434
20010216	2001	2	16	408000	408
20010217	2001	2	17	392000	392
20010218	2001	2	18	374000	374
20010219	2001	2	19	329000	329
20010220	2001	2	20	314000	314
20010221	2001	2	21	299000	299
20010222	2001	2	22	295000	295
20010223	2001	2	23	260000	260
20010224	2001	2	24	272000	272
20010225	2001	2	25	280000	280
20010226	2001	2	26	273000	273
20010227	2001	2	27	270000	270
20010228	2001	2	28	258000	258
20010301	2001	3	1	250000	250
20010302	2001	3	2	239000	239
20010303	2001	3	3	240000	240
20010304	2001	3	4	260000	260
20010305	2001	3	5	382000	382
20010306	2001	3	6	426000	426
20010307	2001	3	7	384000	384
20010308	2001	3	8	393000	393
20010309	2001	3	9	477000	477
20010310	2001	3	10	514000	514
20010311	2001	3	11	547000	547
20010312	2001	3	12	618000	618
20010313	2001	3	13	645000	645
20010314	2001	3	14	690000	690
20010315	2001	3	15	759000	759
20010316	2001	3	16	844000	844
20010317	2001	3	17	919000	919
20010318	2001	3	18	995000	995
20010319	2001	3	19	1040000	1040
20010320	2001	3	20	974000	974
20010321	2001	3	21	902000	902
20010322	2001	3	22	909000	909
20010323	2001	3	23	939000	939
20010324	2001	3	24	976000	976
20010325	2001	3	25	958000	958
20010326	2001	3	26	888000	888
20010327	2001	3	27	832000	832
20010328	2001	3	28	785000	785
20010329	2001	3	29	780000	780
20010330	2001	3	30	793000	793
20010331	2001	3	31	792000	792
20010401	2001	4	1	768000	768
20010402	2001	4	2	699000	699
20010403	2001	4	3	632000	632
20010404	2001	4	4	633000	633
20010405	2001	4	5	585000	585
20010406	2001	4	6	595000	595
20010407	2001	4	7	592000	592
20010408	2001	4	8	609000	609
20010409	2001	4	9	627000	627
20010410	2001	4	10	660000	660
20010411	2001	4	11	689000	689
20010412	2001	4	12	723000	723
20010413	2001	4	13	710000	710
20010414	2001	4	14	671000	671
20010415	2001	4	15	617000	617
20010416	2001	4	16	603000	603
20010417	2001	4	17	657000	657
20010418	2001	4	18	701000	701
20010419	2001	4	19	695000	695
20010420	2001	4	20	673000	673
20010421	2001	4	21	670000	670
20010422	2001	4	22	663000	663
20010423	2001	4	23	681000	681
20010424	2001	4	24	671000	671
20010425	2001	4	25	624000	624
20010426	2001	4	26	684000	684
20010427	2001	4	27	731000	731
20010428	2001	4	28	708000	708
20010429	2001	4	29	659000	659
20010430	2001	4	30	633000	633
20010501	2001	5	1	726000	726
20010502	2001	5	2	813000	813
20010503	2001	5	3	841000	841
20010504	2001	5	4	806000	806
20010505	2001	5	5	743000	743
20010506	2001	5	6	759000	759
20010507	2001	5	7	836000	836
20010508	2001	5	8	883000	883
20010509	2001	5	9	883000	883
20010510	2001	5	10	810000	810
20010511	2001	5	11	681000	681
20010512	2001	5	12	624000	624
20010513	2001	5	13	611000	611
20010514	2001	5	14	612000	612
20010515	2001	5	15	637000	637
20010516	2001	5	16	702000	702
20010517	2001	5	17	641000	641
20010518	2001	5	18	578000	578
20010519	2001	5	19	547000	547
20010520	2001	5	20	528000	528
20010521	2001	5	21	463000	463
20010522	2001	5	22	445000	445
20010523	2001	5	23	416000	416
20010524	2001	5	24	384000	384
20010525	2001	5	25	375000	375
20010526	2001	5	26	365000	365
20010527	2001	5	27	352000	352
20010528	2001	5	28	315000	315
20010529	2001	5	29	301000	301
20010530	2001	5	30	292000	292
20010531	2001	5	31	281000	281
20010601	2001	6	1	251000	251
20010602	2001	6	2	248000	248
20010603	2001	6	3	238000	238
20010604	2001	6	4	241000	241
20010605	2001	6	5	230000	230
20010606	2001	6	6	224000	224
20010607	2001	6	7	214000	214
20010608	2001	6	8	213000	213
20010609	2001	6	9	212000	212
20010610	2001	6	10	212000	212
20010611	2001	6	11	212000	212
20010612	2001	6	12	206000	206
20010613	2001	6	13	203000	203
20010614	2001	6	14	207000	207
20010615	2001	6	15	197000	197
20010616	2001	6	16	191000	191
20010617	2001	6	17	190000	190
20010618	2001	6	18	194000	194
20010619	2001	6	19	187000	187
20010620	2001	6	20	188000	188
20010621	2001	6	21	182000	182
20010622	2001	6	22	181000	181
20010623	2001	6	23	167000	167
20010624	2001	6	24	163000	163
20010625	2001	6	25	162000	162
20010626	2001	6	26	148000	148
20010627	2001	6	27	152000	152
20010628	2001	6	28	157000	157
20010629	2001	6	29	147000	147
20010630	2001	6	30	152000	152
20010701	2001	7	1	150000	150
20010702	2001	7	2	140000	140
20010703	2001	7	3	137000	137
20010704	2001	7	4	124000	124
20010705	2001	7	5	159000	159
20010706	2001	7	6	212000	212
20010707	2001	7	7	287000	287
20010708	2001	7	8	286000	286
20010709	2001	7	9	310000	310
20010710	2001	7	10	240000	240
20010711	2001	7	11	220000	220
20010712	2001	7	12	213000	213
20010713	2001	7	13	202000	202
20010714	2001	7	14	279000	279
20010715	2001	7	15	304000	304
20010716	2001	7	16	290000	290
20010717	2001	7	17	264000	264
20010718	2001	7	18	242000	242
20010719	2001	7	19	248000	248
20010720	2001	7	20	270000	270
20010721	2001	7	21	281000	281
20010722	2001	7	22	244000	244
20010723	2001	7	23	229000	229
20010724	2001	7	24	220000	220
20010725	2001	7	25	232000	232
20010726	2001	7	26	222000	222
20010727	2001	7	27	220000	220
20010728	2001	7	28	210000	210
20010729	2001	7	29	210000	210
20010730	2001	7	30	221000	221
20010731	2001	7	31	207000	207
20010801	2001	8	1	180000	180
20010802	2001	8	2	187000	187
20010803	2001	8	3	195000	195
20010804	2001	8	4	190000	190
20010805	2001	8	5	189000	189
20010806	2001	8	6	188000	188
20010807	2001	8	7	189000	189
20010808	2001	8	8	215000	215
20010809	2001	8	9	225000	225
20010810	2001	8	10	220000	220
20010811	2001	8	11	203000	203
20010812	2001	8	12	197000	197
20010813	2001	8	13	189000	189
20010814	2001	8	14	176000	176
20010815	2001	8	15	176000	176
20010816	2001	8	16	193000	193
20010817	2001	8	17	167000	167
20010818	2001	8	18	161000	161
20010819	2001	8	19	172000	172
20010820	2001	8	20	188000	188
20010821	2001	8	21	180000	180
20010822	2001	8	22	168000	168
20010823	2001	8	23	162000	162
20010824	2001	8	24	152000	152
20010825	2001	8	25	134000	134
20010826	2001	8	26	141000	141
